epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,49.7405,2.00113,2.32961,2.13439,0.60654,0.17365,0.21813,0.078,2.35735,3.37513,2.62455,0.000141456,0.000141456,0.000141456
86,50.2783,1.90839,2.57755,2.0655,0.60654,0.17365,0.21813,0.078,2.35735,3.37513,2.62455,0.000134725,0.000134725,0.000134725
87,50.869,1.96224,2.65689,2.21356,0.60654,0.17365,0.21813,0.078,2.35735,3.37513,2.62455,0.000127796,0.000127796,0.000127796
88,51.6595,1.56704,1.98936,1.93451,0.73814,0.13846,0.23836,0.0853,2.32592,3.40239,2.5692,0.000120669,0.000120669,0.000120669
89,52.2422,1.52621,2.3231,1.79343,0.73814,0.13846,0.23836,0.0853,2.32592,3.40239,2.5692,0.000113344,0.000113344,0.000113344
90,52.8008,1.77282,2.68918,2.05841,0.73814,0.13846,0.23836,0.0853,2.32592,3.40239,2.5692,0.000105821,0.000105821,0.000105821
91,53.3779,1.98682,2.38045,2.37468,0.73814,0.13846,0.23836,0.0853,2.32592,3.40239,2.5692,9.81e-05,9.81e-05,9.81e-05
92,53.9916,1.59963,1.9485,2.0066,0.7752,0.10001,0.29258,0.10437,2.2703,3.38348,2.49007,9.0181e-05,9.0181e-05,9.0181e-05
93,54.5822,1.62598,2.04373,1.97155,0.7752,0.10001,0.29258,0.10437,2.2703,3.38348,2.49007,8.2064e-05,8.2064e-05,8.2064e-05
94,55.1395,2.01154,2.45671,2.23775,0.7752,0.10001,0.29258,0.10437,2.2703,3.38348,2.49007,7.3749e-05,7.3749e-05,7.3749e-05
95,55.705,1.8354,2.17509,2.28451,0.7752,0.10001,0.29258,0.10437,2.2703,3.38348,2.49007,6.5236e-05,6.5236e-05,6.5236e-05
96,56.295,1.93521,2.28765,2.26404,0.78484,0.10897,0.27629,0.09742,2.24324,3.38452,2.46596,5.6525e-05,5.6525e-05,5.6525e-05
97,56.8798,1.94425,2.33154,2.3045,0.78484,0.10897,0.27629,0.09742,2.24324,3.38452,2.46596,4.7616e-05,4.7616e-05,4.7616e-05
98,57.399,2.17021,2.66192,2.51485,0.78484,0.10897,0.27629,0.09742,2.24324,3.38452,2.46596,3.8509e-05,3.8509e-05,3.8509e-05
99,57.9407,1.79111,2.09574,2.03014,0.78484,0.10897,0.27629,0.09742,2.24324,3.38452,2.46596,2.9204e-05,2.9204e-05,2.9204e-05
100,58.5082,1.72018,2.34451,2.01024,0.44237,0.10897,0.27764,0.09536,2.26397,3.33198,2.46794,1.9701e-05,1.9701e-05,1.9701e-05
